dept,dept_group,title,published_date,year,month,month_name,quarter,quarter_label,year_month,relevance_score,priority_category,requires_action,policy_type,business_impact,sector_focus,ai_application,stage,audience,ai_summary,primary_topic,key_topics,recency,days_since_published,summary_word_count,topics_count,description,url,format,display_type,collection_date,week_of_year
DSIT,Innovation & Business,RAI Institute: Artificial Intelligence Impact Assessment (AIIA),2024-04-09 11:08:43,2024.0,4.0,April,2.0,Q2.0 2024.0,2024-04,7.0,2-High,Yes,Research & Analysis,High Impact,Technology,Innovation & R&D,Proposed,Government/Public Sector,"The AI Impact Assessment framework evaluates AI risks, guiding organizations in risk management and compliance with emerging AI regulations.",risk assessment,"risk assessment, regulation, innovation",1-2 years ago,583.0,19,3.0,"A system-level AI Impact Assessment (AIIA), developed by the Responsible Artificial Intelligence Institute (RAI Institute), informs the broader assessment of AI risks and risk management.",https://www.gov.uk/ai-assurance-techniques/rai-institute-artificial-intelligence-impact-assessment-aiia,ai_assurance_portfolio_technique,,2025-11-13,15
DSIT,Innovation & Business,Artificial Intelligence sector study,2025-09-03 20:30:24,2025.0,9.0,September,3.0,Q3.0 2025.0,2025-09,5.0,3-Medium,No,Research & Analysis,Strategic,Technology,General AI Policy,Active,Government/Public Sector,"The study analyzes the UK AI sector, providing insights into the scale and scope of AI product and service development.",innovation,"innovation, market analysis, technology",Last 3 months,70.0,20,3.0,"An analysis of the UK’s AI sector, developing robust estimates of the scale and scope of firms developing AI products and services in the UK.",https://www.gov.uk/government/collections/artificial-intelligence-sector-study,document_collection,,2025-11-13,36
DSIT,Innovation & Business,Joint statement from founding members of the Global Partnership on Artificial Intelligence,2020-06-15 13:15:00,2020.0,6.0,June,2.0,Q2.0 2020.0,2020-06,6.0,3-Medium,No,International Cooperation,Strategic,Other/Mixed,Innovation & R&D,Historical,Government/Public Sector,"The GPAI aims to guide responsible AI development, emphasizing human rights, inclusion, and economic growth through international collaboration and best practices.",AI ethics,"AI ethics, innovation, international cooperation",Over 2 years ago,1977.0,21,3.0,"The Global Partnership on Artificial Intelligence (GPAI) is an international and multistakeholder initiative to guide the responsible development and use of AI, grounded in human rights, inclusion, diversity, innovation, and economic growth.",https://www.gov.uk/government/publications/joint-statement-from-founding-members-of-the-global-partnership-on-artificial-intelligence,guidance,Guidance,2025-11-13,25
DSIT,Innovation & Business,AI cyber security,2025-03-10 16:00:03,2025.0,3.0,March,1.0,Q1.0 2025.0,2025-03,8.0,2-High,Yes,Strategy & Frameworks,High Impact,Technology,Safety & Security,Active,Government/Public Sector,"This collection addresses cybersecurity risks to AI, providing essential frameworks and strategies for safeguarding AI systems against potential threats.",AI safety,"AI safety, cybersecurity, regulation",Last year,248.0,19,3.0,A collection of policy documents and research papers support the government's work to  address cyber security risks to artificial intelligence (AI).,https://www.gov.uk/government/collections/ai-cyber-security,document_collection,,2025-11-13,11
DSIT,Innovation & Business,Artificial Intelligence: public awareness survey,2019-06-09 23:15:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,4.0,4-Low,No,Research & Analysis,Background,Public Sector,General AI Policy,Historical,General Public,"The survey assesses public awareness of AI and its socioeconomic benefits, providing insights for future AI policy development and public engagement.",public awareness,"public awareness, socioeconomic benefits, AI policy",Over 2 years ago,2348.0,21,3.0,"This poll surveyed people in Great Britain to understand public awareness of artificial intelligence (AI), and its corresponding socioeconomic benefits.",https://www.gov.uk/government/publications/artificial-intelligence-public-awareness-survey,research,Research,2025-11-13,23
DSIT,Innovation & Business,Copyright and Artificial Intelligence,2024-12-17 10:30:03,2024.0,12.0,December,4.0,Q4.0 2024.0,2024-12,8.0,2-High,Yes,Regulation & Compliance,High Impact,Other/Mixed,General AI Policy,Proposed,Government/Public Sector,"This consultation seeks input on aligning UK copyright law with AI development, impacting creative industries and AI sector compliance obligations.",copyright,"copyright, regulation, AI sector",Last year,331.0,20,3.0,This consultation seeks views on how the government can ensure the UK’s legal framework for AI and copyright supports the UK creative industries and AI sector together.,https://www.gov.uk/government/consultations/copyright-and-artificial-intelligence,closed_consultation,,2025-11-13,51
DSIT,Innovation & Business,Artificial Intelligence sector study 2022,2023-03-29 10:46:00,2023.0,3.0,March,1.0,Q1.0 2023.0,2023-03,5.0,3-Medium,No,Research & Analysis,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"The report analyzes the UK AI sector's size, employment, and investment, providing insights for strategic planning and development.",AI sector,"AI sector, employment, investment",Over 2 years ago,960.0,18,3.0,"An analysis of the UK’s AI sector, including figures on size, employment, revenue and investment.",https://www.gov.uk/government/publications/artificial-intelligence-sector-study-2022,research,Research,2025-11-13,13
DSIT,Innovation & Business,Artificial Intelligence sector study 2024,2025-09-02 23:00:00,2025.0,9.0,September,3.0,Q3.0 2025.0,2025-09,5.0,3-Medium,No,Research & Analysis,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"This study estimates the scale of UK firms developing AI products, offering valuable insights for future policy and investment decisions.",AI products,"AI products, market scale, innovation",Last 3 months,71.0,20,3.0,"An analysis of the UK’s AI sector, developing robust estimates of the scale and scope of firms developing AI products and services in the UK.",https://www.gov.uk/government/publications/artificial-intelligence-sector-study-2024,research,Research,2025-11-13,36
DSIT,Innovation & Business,Artificial Intelligence sector study 2023,2024-10-22 23:00:00,2024.0,10.0,October,4.0,Q4.0 2024.0,2024-10,5.0,3-Medium,No,Research & Analysis,Background,Technology,Innovation & R&D,Historical,General Public,"The study provides insights into the UK AI sector's scale and scope, informing stakeholders about market dynamics and opportunities.",AI sector,"AI sector, innovation, market analysis",1-2 years ago,386.0,19,3.0,"An analysis of the UK’s AI sector, developing robust estimates of the scale and scope of firms developing AI products and services in the UK.",https://www.gov.uk/government/publications/artificial-intelligence-sector-study-2023,research,Research,2025-11-13,43
DSIT,Innovation & Business,Understanding artificial intelligence,2019-06-09 23:00:00,2019.0,6.0,June,2.0,Q2.0 2019.0,2019-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Public Sector,Workforce & Skills,Active,Government/Public Sector,This guidance offers best practices for understanding and implementing AI technologies effectively within public sector operations and services.,AI implementation,"AI implementation, public sector, best practices",Over 2 years ago,2348.0,18,3.0,An introduction to understanding and using artificial intelligence in the public sector.,https://www.gov.uk/government/publications/understanding-artificial-intelligence,guidance,Guidance,2025-11-13,23
DSIT,Innovation & Business,Evidence to support the analysis of impacts for artificial intelligence governance,2023-03-29 10:56:00,2023.0,3.0,March,1.0,Q1.0 2023.0,2023-03,8.0,2-High,Yes,Research & Analysis,High Impact,Cross-Sector,General AI Policy,Proposed,Government/Public Sector,"The analysis evaluates potential AI regulatory options, providing evidence to support the development of a comprehensive AI governance framework.",AI governance,"AI governance, regulation, compliance options",Over 2 years ago,960.0,19,3.0,"An analysis of hypothetical AI regulatory options for the UK, to provide evidence for AI regulatory framework proposals.",https://www.gov.uk/government/publications/evidence-to-support-the-analysis-of-impacts-for-artificial-intelligence-governance,research,Research,2025-11-13,13
DSIT,Innovation & Business,Regulatory Horizons Council: The regulation of Artificial Intelligence as a Medical Device,2022-11-30 12:06:00,2022.0,11.0,November,4.0,Q4.0 2022.0,2022-11,9.0,1-Critical,Yes,Regulation & Compliance,High Impact,Healthcare,Safety & Security,Historical,Government/Public Sector,"This report outlines regulatory requirements for AI as a medical device, emphasizing compliance obligations for healthcare providers and manufacturers.",AI regulation,"AI regulation, healthcare AI, compliance",Over 2 years ago,1079.0,19,3.0,An independent report to government from the Regulatory Horizons Council about the regulation of AI as a Medical Device.,https://www.gov.uk/government/publications/regulatory-horizons-council-the-regulation-of-artificial-intelligence-as-a-medical-device,independent_report,Independent report,2025-11-13,48
DSIT,Innovation & Business,Sheffield Hallam University: Accountability Principles for Artificial Intelligence (AP4AI),2023-12-12 11:11:21,2023.0,12.0,December,4.0,Q4.0 2023.0,2023-12,5.0,3-Medium,No,Research & Analysis,Strategic,Education,Workforce & Skills,Active,General Public,"The case study presents accountability principles for AI, offering insights into best practices for educational institutions implementing AI technologies.",AI ethics,"AI ethics, governance, skills",1-2 years ago,702.0,19,3.0,Case study from Sheffield Hallam University.,https://www.gov.uk/ai-assurance-techniques/university-of-sheffield-accountability-principles-for-artificial-intelligence-ap4ai,ai_assurance_portfolio_technique,,2025-11-13,50
DSIT,Innovation & Business,"UK Science and Innovation Network (SIN) in Canada secures jobs, exports and investment in Artificial Intelligence (AI) in the UK",2019-01-28 20:14:18,2019.0,1.0,January,1.0,Q1.0 2019.0,2019-01,4.0,4-Low,No,Funding & Investment,Strategic,Technology,International Competitiveness,Historical,Business/Private Sector,"This impact story highlights collaboration between the UK and Canada in AI, resulting in job creation and investment opportunities for UK businesses.",AI innovation,"AI innovation, international cooperation, funding",Over 2 years ago,2480.0,22,3.0,"An impact story describing how the UK and Canada worked together to share expertise in artificial intelligence that resulted in jobs, exports and investment for the UK.",https://www.gov.uk/government/publications/sin-canada-secures-investment-and-jobs-in-artificial-intelligence-in-the-uk,research,Research,2025-11-13,5
DSIT,Innovation & Business,AI expert to lead Action Plan to ensure UK reaps the benefits of Artificial Intelligence,2024-07-26 08:30:02,2024.0,7.0,July,3.0,Q3.0 2024.0,2024-07,3.0,4-Low,No,Funding & Investment,Strategic,Cross-Sector,Innovation & R&D,Proposed,Government/Public Sector,UK Science Secretary commissions an Action Plan to explore how AI can enhance economic growth and drive innovation across various sectors.,innovation,"innovation, economic growth, AI strategy",1-2 years ago,475.0,21,3.0,UK Science Secretary Peter Kyle has commissioned an Action Plan to identify how AI can drive economic growth.,https://www.gov.uk/government/news/ai-expert-to-lead-action-plan-to-ensure-uk-reaps-the-benefits-of-artificial-intelligence,press_release,,2025-11-13,30
DSIT,Innovation & Business,Government response to the House of Lords Select Committee on Artificial Intelligence,2021-02-22 17:35:00,2021.0,2.0,February,1.0,Q1.0 2021.0,2021-02,6.0,3-Medium,No,Strategy & Frameworks,High Impact,Cross-Sector,General AI Policy,Historical,Government/Public Sector,"Government responds to House of Lords report, emphasizing the need for a robust AI strategy to ensure the UK remains competitive and secure.",AI strategy,"AI strategy, governance, competitiveness",Over 2 years ago,1724.0,23,3.0,Government response to the Lords Select Committee on Artificial Intelligence report ‘AI in the UK: No Room for Complacency’.,https://www.gov.uk/government/publications/government-response-to-the-house-of-lords-select-committee-on-artificial-intelligence,policy_paper,Policy paper,2025-11-13,8
DSIT,Innovation & Business,Foreign Secretary to call for international cooperation to manage the global implications of Artificial Intelligence,2023-07-18 15:10:37,2023.0,7.0,July,3.0,Q3.0 2023.0,2023-07,4.0,4-Low,No,International Cooperation,Strategic,Cross-Sector,International Competitiveness,Active,Government/Public Sector,"Foreign Secretary to lead UN session on AI, advocating for international collaboration to address global challenges and implications of artificial intelligence.",international cooperation,"international cooperation, global implications, AI governance",Over 2 years ago,849.0,21,3.0,Foreign Secretary James Cleverly will chair first ever United Nations Security Council (UNSC) session on Artificial Intelligence (AI).,https://www.gov.uk/government/news/foreign-secretary-to-call-for-international-cooperation-to-manage-the-global-implications-of-artificial-intelligence,press_release,,2025-11-13,29
DSIT,Innovation & Business,Government response to Regulatory Horizons Council report on the regulation of Artificial Intelligence as a Medical Device,2022-11-30 00:00:00,2022.0,11.0,November,4.0,Q4.0 2022.0,2022-11,9.0,1-Critical,Yes,Regulation & Compliance,High Impact,Healthcare,Safety & Security,Active,Government/Public Sector,"The government responds to recommendations for regulating AI as a medical device, emphasizing compliance obligations for healthcare providers and developers.",AI regulation,"AI regulation, healthcare AI, compliance",Over 2 years ago,1079.0,20,3.0,The Business Secretary has responded to recommendations made by the Regulatory Horizons Council on the regulation of Artificial Intelligence (AI) as a Medical Device.,https://www.gov.uk/government/publications/government-response-to-regulatory-horizons-council-report-on-the-regulation-of-artificial-intelligence-as-a-medical-device,correspondence,Correspondence,2025-11-13,48
DSIT,Innovation & Business,Declaration of the United States of America and the United Kingdom of Great Britain and Northern Ireland on Cooperation in AI Research and Development,2020-09-25 12:00:00,2020.0,9.0,September,3.0,Q3.0 2020.0,2020-09,4.0,4-Low,No,International Cooperation,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"The UK and US declare cooperation in AI research and development, promoting shared technological breakthroughs and collaborative innovation strategies.",AI research,"AI research, international cooperation, innovation",Over 2 years ago,1875.0,19,3.0,A Shared Vision for Driving Technological Breakthroughs in Artificial Intelligence.,https://www.gov.uk/government/publications/declaration-of-the-united-states-of-america-and-the-united-kingdom-of-great-britain-and-northern-ireland-on-cooperation-in-ai-research-and-development,guidance,Guidance,2025-11-13,39
DSIT,Innovation & Business,UK unveils world leading approach to innovation in first artificial intelligence white paper to turbocharge growth,2023-03-29 13:24:52,2023.0,3.0,March,1.0,Q1.0 2023.0,2023-03,6.0,3-Medium,No,Strategy & Frameworks,Strategic,Cross-Sector,Innovation & R&D,Active,General Public,"The UK government launches an AI white paper to guide responsible innovation, aiming to enhance public trust and drive economic growth.",AI innovation,"AI innovation, public trust, strategic framework",Over 2 years ago,960.0,21,3.0,"Government launches AI white paper to guide the use of artificial intelligence in the UK, to drive responsible innovation and maintain public trust in this revolutionary technology.",https://www.gov.uk/government/news/uk-unveils-world-leading-approach-to-innovation-in-first-artificial-intelligence-white-paper-to-turbocharge-growth,press_release,,2025-11-13,13
DSIT,Innovation & Business,International Scientific Report on the Safety of Advanced AI: interim report,2025-10-22 09:08:02,2025.0,10.0,October,4.0,Q4.0 2025.0,2025-10,5.0,3-Medium,No,Research & Analysis,Strategic,Other/Mixed,Safety & Security,Under Review,Government/Public Sector,"Interim report on advanced AI safety, providing insights for future regulations and compliance frameworks in AI development and deployment.",AI safety,"AI safety, regulation, innovation",Last month,22.0,19,3.0,An interim report on the science of advanced Artificial Intelligence (AI) safety.,https://www.gov.uk/government/publications/international-scientific-report-on-the-safety-of-advanced-ai,research,Research,2025-11-13,43
DSIT,Innovation & Business,Guidelines for AI procurement,2020-06-08 13:20:00,2020.0,6.0,June,2.0,Q2.0 2020.0,2020-06,6.0,3-Medium,No,Implementation Guidance,Operational,Public Sector,Innovation & R&D,Active,Government/Public Sector,"Guidelines for best practices in AI procurement, addressing challenges and providing recommendations for effective acquisition of AI technologies in government.",procurement,"procurement, best practices, AI technologies",Over 2 years ago,1984.0,20,3.0,A summary of best practice addressing specific challenges of acquiring Artificial Intelligence technologies in government.,https://www.gov.uk/government/publications/guidelines-for-ai-procurement,guidance,Guidance,2025-11-13,24
DSIT,Innovation & Business,The potential impact of AI on UK employment and the demand for skills,2021-10-08 09:00:09,2021.0,10.0,October,4.0,Q4.0 2021.0,2021-10,5.0,3-Medium,No,Research & Analysis,High Impact,Other/Mixed,Workforce & Skills,Historical,Government/Public Sector,"Research estimates AI's impact on UK employment and skills demand, informing policy decisions and workforce development strategies in response to technological changes.",workforce,"workforce, skills, AI impact",Over 2 years ago,1497.0,22,3.0,This research provides estimates of the potential impact of artificial intelligence (AI) and related technologies on the UK labour market.,https://www.gov.uk/government/publications/the-potential-impact-of-ai-on-uk-employment-and-the-demand-for-skills,research,Research,2025-11-13,40
DSIT,Innovation & Business,Data Use and Access Act 2025: plans for commencement,2025-09-11 14:34:21,2025.0,9.0,September,3.0,Q3.0 2025.0,2025-09,8.0,2-High,Yes,Regulation & Compliance,High Impact,Other/Mixed,Data & Privacy,Proposed,Government/Public Sector,"The Data Use and Access Act 2025 outlines compliance obligations for data handling, impacting AI systems' data access and usage.",regulation,"regulation, data protection, compliance",Last 3 months,63.0,20,3.0,A summary of the government’s plans for bringing into force provisions in the Data (Use and Access) Act 2025.,https://www.gov.uk/guidance/data-use-and-access-act-2025-plans-for-commencement,detailed_guide,,2025-11-13,37
DSIT,Innovation & Business,Virtual reality and wearable technology pilot to cut drug deaths,2024-10-17 23:00:00,2024.0,10.0,October,4.0,Q4.0 2024.0,2024-10,4.0,4-Low,No,Funding & Investment,Strategic,Healthcare,Innovation & R&D,Active,Government/Public Sector,"Government funds research into wearable technology and AI to support drug addiction recovery, promoting innovative solutions in healthcare.",innovation,"innovation, healthcare AI, funding",1-2 years ago,391.0,18,3.0,"The government will fund research into wearable technology, virtual reality and artificial intelligence in a bid to support people with drug addictions.",https://www.gov.uk/government/news/virtual-reality-and-wearable-technology-pilot-to-cut-drug-deaths,press_release,,2025-11-13,42
DSIT,Innovation & Business,Prime Minister sets out blueprint to turbocharge AI,2025-01-13 15:56:33,2025.0,1.0,January,1.0,Q1.0 2025.0,2025-01,6.0,3-Medium,No,Strategy & Frameworks,Strategic,Technology,General AI Policy,Active,General Public,"The Prime Minister's blueprint emphasizes AI's role in national renewal, outlining strategic initiatives for AI development and implementation.",innovation,"innovation, strategy, governance",Last year,304.0,18,3.0,"Artificial intelligence will deliver a decade of national renewal, as part of a new plan announced today (13 January 2025).",https://www.gov.uk/government/news/prime-minister-sets-out-blueprint-to-turbocharge-ai,press_release,,2025-11-13,3
DSIT,Innovation & Business,Global Coalition on Telecommunications: principles on AI adoption in the telecommunications industry,2025-01-16 00:01:00,2025.0,1.0,January,1.0,Q1.0 2025.0,2025-01,6.0,3-Medium,No,International Cooperation,Strategic,Technology,Innovation & R&D,Active,Government/Public Sector,"The Global Coalition on Telecommunications outlines principles for AI adoption, emphasizing collaboration and innovation in the telecommunications sector.",AI adoption,"AI adoption, telecommunications, innovation",Last year,301.0,18,3.0,A joint statement from the Global Coalition on Telecommunications (GCOT) setting out principles on the adoption of artificial intelligence in the telecommunications industry.,https://www.gov.uk/government/publications/global-coalition-on-telecommunications-principles-on-ai-adoption-in-the-telecommunications-industry,notice,Notice,2025-11-13,3
DSIT,Innovation & Business,Understanding UK AI R&D commercialisation and the role of standards,2022-05-11 23:00:00,2022.0,5.0,May,2.0,Q2.0 2022.0,2022-05,5.0,3-Medium,No,Research & Analysis,Strategic,Technology,Innovation & R&D,Historical,Government/Public Sector,"Research explores the R&D commercialisation process for AI in the UK, providing insights for stakeholders on effective practices and standards.",R&D commercialisation,"R&D commercialisation, AI standards, innovation",Over 2 years ago,1281.0,20,3.0,Research commissioned by DCMS to understand the R&D commercialisation process related to Artificial Intelligence in the UK.,https://www.gov.uk/government/publications/understanding-uk-ai-rd-commercialisation-and-the-role-of-standards,research,Research,2025-11-13,19
DSIT,Innovation & Business,AI Exemplars programme,2025-08-16 23:01:04,2025.0,8.0,August,3.0,Q3.0 2025.0,2025-08,7.0,2-High,Yes,Implementation Guidance,High Impact,Public Sector,Innovation & R&D,Active,Government/Public Sector,"The AI Exemplars programme showcases innovative AI solutions enhancing public services, urging government entities to adopt effective AI practices.",public services,"public services, AI solutions, innovation",Last 3 months,88.0,19,3.0,"AI Exemplars are transforming public services – improving healthcare, education, planning and justice with practical and innovative AI solutions.",https://www.gov.uk/guidance/ai-exemplars-programme,detailed_guide,,2025-11-13,33
DSIT,Innovation & Business,Remarks made by Technology Secretary Peter Kyle at the Munich Security Conference,2025-02-14 17:47:44,2025.0,2.0,February,1.0,Q1.0 2025.0,2025-02,4.0,4-Low,No,International Cooperation,Strategic,Technology,General AI Policy,Active,General Public,"Technology Secretary Peter Kyle discussed the UK's responsible AI development approach at the Munich Security Conference, emphasizing international collaboration and ethical considerations.",AI ethics,"AI ethics, international cooperation, responsible development",Last year,271.0,22,3.0,Technology Secretary Peter Kyle spoke about the the UK’s approach to the responsible development of artificial intelligence at the Munich Security Conference.,https://www.gov.uk/government/speeches/remarks-made-by-technology-secretary-peter-kyle-at-the-munich-security-conference,speech,,2025-11-13,7
DSIT,Innovation & Business,Find out about artificial intelligence (AI) assurance techniques,2025-04-28 18:53:05,2025.0,4.0,April,2.0,Q2.0 2025.0,2025-04,6.0,3-Medium,No,Implementation Guidance,Operational,Other/Mixed,Innovation & R&D,Active,Business/Private Sector,"This document outlines AI assurance techniques for organizations, providing best practices to ensure effective implementation and management of AI systems.",AI assurance,"AI assurance, implementation guidance, best practices",Last year,198.0,20,3.0,Find out what AI assurance is and what AI assurance techniques you can use in your organisation.,https://www.gov.uk/ai-assurance-techniques,finder,,2025-11-13,18
DSIT,Innovation & Business,AI Cyber Security Code of Practice,2025-01-31 00:00:00,2025.0,1.0,January,1.0,Q1.0 2025.0,2025-01,9.0,1-Critical,Yes,Regulation & Compliance,High Impact,Technology,Safety & Security,Active,Government/Public Sector,"The AI Cyber Security Code of Practice outlines mandatory measures for addressing cyber security risks associated with AI systems, ensuring compliance and safety.",AI safety,"AI safety, regulation, cyber security",Last year,286.0,23,3.0,The code of practice and implementation guide sets out measures to address cyber security risks to artificial intelligence (AI) systems.,https://www.gov.uk/government/publications/ai-cyber-security-code-of-practice,guidance,Guidance,2025-11-13,5
DSIT,Innovation & Business,Environment Agency: Hello Lamp Post,2025-06-03 09:06:44,2025.0,6.0,June,2.0,Q2.0 2025.0,2025-06,6.0,3-Medium,No,Implementation Guidance,Strategic,Public Sector,Innovation & R&D,Active,Government/Public Sector,"Hello Lamp Post utilizes AI for community engagement, providing a playful platform for citizen consultation and interaction with local authorities.",AI innovation,"AI innovation, public sector, community engagement",Last 6 months,163.0,20,3.0,Hello Lamp Post is a community engagement platform that uses Artificial Intelligence to playfully communicate and consult with citizens.,https://www.gov.uk/algorithmic-transparency-records/environment-agency-hello-lamp-post,algorithmic_transparency_record,,2025-11-13,23
